Customer_ID,Month,Age,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Outstanding_Debt,Payment_of_Min_Amount
10429,2022-01-12,22,1264.6058333333333,6,6,28,6,"Student Loan, Debt Consolidation Loan, Auto Loan, Credit-Builder Loan, Credit-Builder Loan, and Mortgage Loan",39,16,4683.73,Yes
11155,2022-01-12,40,3058.9966666666664,3,7,19,3,"Debt Consolidation Loan, Personal Loan, and Home Equity Loan",10,19,839.04,No
12365,2022-01-12,29,3817.593447258108,6,6,20,9,"Payday Loan, Debt Consolidation Loan, Not Specified, Student Loan, Mortgage Loan, Auto Loan, Student Loan, Auto Loan, and Not Specified",58,22,4452.95,Yes
11424,2022-01-12,39,4244.93,7,5,17,8,"Home Equity Loan, Mortgage Loan, Home Equity Loan, Payday Loan, Home Equity Loan, Student Loan, Home Equity Loan, and Personal Loan",57,18,1441.5,Yes
12376,2022-01-12,19,5074.71,7,10,16,3,"Credit-Builder Loan, Auto Loan, and Not Specified",9,8,2111.68,Yes
12348,2022-01-12,33,1234.71,4,7,2,3,"Auto Loan, Home Equity Loan, and Personal Loan",27,8,235.86,No
10370,2022-01-12,33,3435.879166666667,5,2,12,3,"Auto Loan, Debt Consolidation Loan, and Credit-Builder Loan",1,4,67.98,No
11425,2022-01-12,26,556.3733333333333,7,8,20,8,"Not Specified, Personal Loan, Credit-Builder Loan, Mortgage Loan, Auto Loan, Home Equity Loan, Not Specified, and Payday Loan",57,18,2673.71,Yes
10053,2022-01-12,21,6808.566666666668,7,10,26,8,"Payday Loan, Debt Consolidation Loan, Auto Loan, Personal Loan, Mortgage Loan, Student Loan, Personal Loan, and Payday Loan",40,15,4609.45,Yes
10048,2022-01-12,33,1859.7,5,8,13,1,Home Equity Loan,16,12,1110.63,No
11437,2022-01-12,24,787.8741666666666,8,10,22,8,"Credit-Builder Loan, Debt Consolidation Loan, Home Equity Loan, Mortgage Loan, Auto Loan, Payday Loan, Home Equity Loan, and Home Equity Loan",17,16,2497.37,Yes
10809,2022-01-12,37,1464.250416666667,1,5,8,0,No Loan,5,4,69.03,No
11588,2022-01-12,33,9982.593333333332,3,7,7,0,No Loan,27,19,333.32,No
12377,2022-01-12,44,7992.325,7,3,17,2,"Payday Loan, and Home Equity Loan",16,10,1095.56,Yes
10817,2022-01-12,24,3421.903333333333,0,4,5,4,"Mortgage Loan, Home Equity Loan, Personal Loan, and Credit-Builder Loan",14,2,218.9,No
12366,2022-01-12,50,14707.22,3,5,6,0,No Loan,12,5,1336.86,No
12349,2022-01-12,40,5463.165,7,7,11,0,No Loan,12,19,1166.37,Yes
10059,2022-01-12,54,2758.8383333333336,4,5,2,3,"Not Specified, Auto Loan, and Auto Loan",13,6,643.02,No
11226,2022-01-12,23,3433.39,6,7,16,5,"Payday Loan, Personal Loan, Auto Loan, Auto Loan, and Auto Loan",27,17,2760.28,Yes
11433,2022-01-12,42,7202.795000000001,5,2,6,2,"Home Equity Loan, and Student Loan",16,5,10.29,No
11922,2022-01-12,22,6100.681666666666,7,6,11,2,"Home Equity Loan, and Auto Loan",23,12,1154.39,Yes
11842,2022-01-12,52,5540.133333333334,6,5,14,1,Personal Loan,23,10,1323.17,Yes
12364,2022-01-12,39,5766.491666666666,5,7,15,4,"Credit-Builder Loan, Mortgage Loan, Home Equity Loan, and Not Specified",15,19,1169.62,Yes
11586,2022-01-12,29,3052.748607413092,6,6,16,2,"Payday Loan, and Payday Loan",28,17,1441.58,Yes
10260,2022-01-12,38,6523.7275,7,3,14,2,"Payday Loan, and Debt Consolidation Loan",34,19,436.82,Yes
10366,2022-01-12,37,2000.025,4,7,15,0,No Loan,26,10,366.22,Yes
12360,2022-01-12,45,758.8033333333334,8,8,29,3,"Student Loan, Debt Consolidation Loan, and Credit-Builder Loan",19,21,2669.02,Yes
11162,2022-01-12,29,508.555,10,10,13,9,"Debt Consolidation Loan, Payday Loan, Home Equity Loan, Mortgage Loan, Personal Loan, Home Equity Loan, Mortgage Loan, Home Equity Loan, and Credit-Builder Loan",40,24,3851.63,Yes
12371,2022-01-12,39,5053.795,5,5,12,1,Personal Loan,11,19,466.2,No
10535,2022-01-12,20,1782.631666666667,5,3,8,4,"Personal Loan, Mortgage Loan, Not Specified, and Credit-Builder Loan",1,4,19.96,No
10815,2022-01-12,32,3180.726666666667,3,3,19,1,Home Equity Loan,17,17,1213.43,Yes
11924,2022-01-12,25,5531.094715382072,7,7,13,2,"Auto Loan, and Not Specified",17,18,2357.03,Yes
10813,2022-01-12,42,2104.376666666667,5,3,8,0,No Loan,28,11,915.87,Yes
11844,2022-01-12,37,2247.4616666666666,8,4,19,1,Debt Consolidation Loan,25,13,1178.24,No
10056,2022-01-12,55,3332.0275,5,4,4,3,"Personal Loan, Home Equity Loan, and Personal Loan",22,3,93.93,No
10534,2022-01-12,26,1141.5300000000002,5,5,17,2,"Mortgage Loan, and Credit-Builder Loan",25,9,1269.23,Yes
10261,2022-01-12,39,5174.36,7,8,24,8,"Personal Loan, Personal Loan, Payday Loan, Credit-Builder Loan, Credit-Builder Loan, Student Loan, Home Equity Loan, and Payday Loan",41,22,3596.04,Yes
10229,2022-01-12,52,5189.141666666666,7,3,5,2,"Debt Consolidation Loan, and Auto Loan",14,8,570.4,Yes
11581,2022-01-12,38,1320.34875,6,3,9,3,"Personal Loan, Auto Loan, and Debt Consolidation Loan",6,19,1263.45,Yes
11928,2022-01-12,39,4578.786666666667,5,9,26,3,"Payday Loan, Debt Consolidation Loan, and Payday Loan",19,21,2071.87,Yes
10825,2022-01-12,39,3014.21,4,5,19,3,"Student Loan, Mortgage Loan, and Not Specified",23,19,332.22,Yes
11576,2022-01-12,29,3924.84,10,10,17,8,"Credit-Builder Loan, Personal Loan, Student Loan, Debt Consolidation Loan, Auto Loan, Credit-Builder Loan, Credit-Builder Loan, and Payday Loan",43,27,4747.62,Yes
10365,2022-01-12,30,1569.1233333333332,0,3,9,2,"Debt Consolidation Loan, and Debt Consolidation Loan",11,5,1002.97,No
12359,2022-01-12,24,3097.624166666666,5,5,18,2,"Personal Loan, and Not Specified",27,14,132.82,Yes
10055,2022-01-12,39,14257.543333333331,4,3,4,0,No Loan,5,5,426.24,No
11582,2022-01-12,24,9878.8,2,4,12,2,"Payday Loan, and Auto Loan",13,3,1278.56,No
12369,2022-01-12,33,1688.5525,10,9,20,5,"Mortgage Loan, Not Specified, Credit-Builder Loan, Mortgage Loan, and Payday Loan",54,18,3158.08,Yes
11847,2022-01-12,20,1528.1691666666666,10,7,22,2,"Mortgage Loan, and Debt Consolidation Loan",54,25,2164.84,Yes
10673,2022-01-12,26,3909.6075,10,5,22,5,"Mortgage Loan, Payday Loan, Mortgage Loan, Payday Loan, and Auto Loan",25,22,3089.47,Yes
12370,2022-01-12,34,2254.443333333333,7,8,29,7,"Personal Loan, Not Specified, Home Equity Loan, Credit-Builder Loan, Debt Consolidation Loan, Mortgage Loan, and Not Specified",18,22,1300.78,Yes
10823,2022-01-12,43,9642.0325,2,5,9,2,"Payday Loan, and Auto Loan",3,6,666.31,No
10227,2022-01-12,31,5080.71,4,4,11,0,No Loan,27,8,189.28,No
11929,2022-01-12,43,1393.26,5,6,9,0,No Loan,17,8,114.81,No
11224,2022-01-12,42,1736.8154166666666,4,6,5,2,"Payday Loan, and Home Equity Loan",15,19,1148.28,No
10814,2022-01-12,37,1092.0683333333334,4,7,6,6,"Student Loan, Mortgage Loan, Debt Consolidation Loan, Student Loan, Credit-Builder Loan, and Payday Loan",20,19,1067.95,Yes
12358,2022-01-12,44,2910.238333333333,4,5,6,3,"Payday Loan, Home Equity Loan, and Debt Consolidation Loan",15,20,1380.29,No
11430,2022-01-12,39,4059.13,7,10,24,6,"Auto Loan, Student Loan, Debt Consolidation Loan, Credit-Builder Loan, Debt Consolidation Loan, and Payday Loan",43,20,1799.87,Yes
10427,2022-01-12,54,6367.2525,8,4,7,2,"Credit-Builder Loan, and Not Specified",10,5,833.37,No
11583,2022-01-12,42,3078.145,5,3,5,0,No Loan,12,6,1338.65,No
10051,2022-01-12,22,557.3220833333334,8,10,22,7,"Credit-Builder Loan, Auto Loan, Personal Loan, Student Loan, Not Specified, Student Loan, and Home Equity Loan",17,19,1804.5,Yes
11435,2022-01-12,32,1216.9433333333334,10,9,22,6,"Not Specified, Debt Consolidation Loan, Not Specified, Debt Consolidation Loan, Debt Consolidation Loan, and Mortgage Loan",21,19,4014.35,Yes
10822,2022-01-12,23,3618.161666666667,1,1,3,3,"Not Specified, Payday Loan, and Payday Loan",4,7,1253.67,No
10824,2022-01-12,49,2696.023737572665,0,6,8,4,"Student Loan, Not Specified, Student Loan, and Personal Loan",10,10,731.26,No
10669,2022-01-12,32,6244.387274157257,7,4,9,5,"Credit-Builder Loan, Mortgage Loan, Auto Loan, Personal Loan, and Credit-Builder Loan",19,13,1130.29,Yes
10364,2022-01-12,45,4900.876666666666,10,5,25,9,"Auto Loan, Home Equity Loan, Mortgage Loan, Auto Loan, Home Equity Loan, Credit-Builder Loan, Mortgage Loan, Student Loan, and Student Loan",18,19,3618.91,Yes
11584,2022-01-12,19,10545.0325,5,4,1,4,"Auto Loan, Mortgage Loan, Home Equity Loan, and Debt Consolidation Loan",1,7,839.57,No
11428,2022-01-12,54,4919.26,7,7,8,0,No Loan,10,12,9.32,Yes
10509,2022-01-12,37,4099.7975000000015,6,9,27,5,"Personal Loan, Home Equity Loan, Auto Loan, Payday Loan, and Not Specified",22,12,1328.98,Yes
10827,2022-01-12,30,7284.29,1,6,7,2,"Home Equity Loan, and Not Specified",10,5,320.83,No
10816,2022-01-12,26,1592.5966666666666,6,8,20,9,"Mortgage Loan, Student Loan, Student Loan, Mortgage Loan, Personal Loan, Personal Loan, Debt Consolidation Loan, Payday Loan, and Payday Loan",21,22,4973.64,Yes
10424,2022-01-12,39,1271.3625,8,9,26,2,"Home Equity Loan, and Not Specified",36,18,2427.44,Yes
11931,2022-01-12,42,6753.243333333333,6,5,22,6,"Debt Consolidation Loan, Credit-Builder Loan, Debt Consolidation Loan, Mortgage Loan, Student Loan, and Payday Loan",16,15,4726.13,Yes
11843,2022-01-12,56,963.9191666666668,8,5,18,3,"Credit-Builder Loan, Mortgage Loan, and Credit-Builder Loan",13,17,170.53,Yes
11573,2022-01-12,32,4961.985,6,6,28,5,"Personal Loan, Auto Loan, Home Equity Loan, Debt Consolidation Loan, and Personal Loan",24,20,4161.7,Yes
10428,2022-01-12,41,3297.376666666666,5,1,9,2,"Home Equity Loan, and Not Specified",0,3,599.81,No
11577,2022-01-12,28,2301.6716666666666,5,5,30,7,"Personal Loan, Home Equity Loan, Auto Loan, Debt Consolidation Loan, Not Specified, Credit-Builder Loan, and Mortgage Loan",23,20,2336.66,Yes
10811,2022-01-12,19,2997.7120613270367,1,3,2,3,"Debt Consolidation Loan, Student Loan, and Personal Loan",6,0,843.89,No
10049,2022-01-12,24,1829.783333333333,6,6,12,1,Not Specified,12,11,1154.86,No
12367,2022-01-12,34,6822.4000000000015,7,8,22,8,"Not Specified, Personal Loan, Student Loan, Home Equity Loan, Credit-Builder Loan, Mortgage Loan, Debt Consolidation Loan, and Personal Loan",20,19,3988.3,Yes
12374,2022-01-12,38,2782.3825,6,6,5,3,"Auto Loan, Debt Consolidation Loan, and Home Equity Loan",10,14,437.84,No
11848,2022-01-12,26,8032.696666666668,7,4,6,1,Student Loan,16,10,637.0,No
11580,2022-01-12,31,1130.5641666666668,6,7,6,2,"Credit-Builder Loan, and Debt Consolidation Loan",16,17,559.89,No
10828,2022-01-12,31,2485.1541666666667,6,3,5,0,No Loan,25,9,1465.87,No
11923,2022-01-12,20,1217.1416666666669,6,3,14,3,"Credit-Builder Loan, Credit-Builder Loan, and Auto Loan",11,19,640.77,Yes
11427,2022-01-12,46,11139.025,2,3,6,0,No Loan,13,6,262.48,No
11222,2022-01-12,38,977.2320833333332,10,5,22,9,"Credit-Builder Loan, Mortgage Loan, Auto Loan, Student Loan, Mortgage Loan, Home Equity Loan, Not Specified, Mortgage Loan, and Credit-Builder Loan",22,19,3670.07,Yes
10674,2022-01-12,34,1426.868333333333,6,4,13,7,"Payday Loan, Student Loan, Student Loan, Debt Consolidation Loan, Not Specified, Credit-Builder Loan, and Personal Loan",6,14,1594.66,Yes
10668,2022-01-12,56,5778.82,7,6,4,1,Mortgage Loan,19,9,558.26,No
11574,2022-01-12,19,1436.730833333333,6,6,30,5,"Debt Consolidation Loan, Student Loan, Home Equity Loan, Debt Consolidation Loan, and Payday Loan",34,21,4443.32,Yes
12372,2022-01-12,34,5553.6025,8,6,20,4,"Home Equity Loan, Not Specified, Student Loan, and Student Loan",30,17,760.71,Yes
10369,2022-01-12,35,4904.5425,9,6,28,5,"Payday Loan, Student Loan, Not Specified, Home Equity Loan, and Personal Loan",21,16,2672.09,Yes
12361,2022-01-12,35,6255.05,6,8,30,7,"Auto Loan, Payday Loan, Payday Loan, Mortgage Loan, Mortgage Loan, Auto Loan, and Mortgage Loan",53,15,2083.28,Yes
11930,2022-01-12,32,2810.308333333333,4,6,5,0,No Loan,25,7,404.81,No
12368,2022-01-12,28,2739.879166666667,6,3,5,2,"Student Loan, and Payday Loan",6,14,415.34,Yes
10425,2022-01-12,44,7141.9000000000015,7,5,12,1,Home Equity Loan,25,16,331.53,No
11159,2022-01-12,20,2414.6275,3,3,6,0,No Loan,10,9,529.01,No
10054,2022-01-12,39,2895.2353379553333,9,7,21,5,"Home Equity Loan, Student Loan, Home Equity Loan, Auto Loan, and Credit-Builder Loan",22,16,3535.04,Yes
10826,2022-01-12,23,1611.455,5,5,6,4,"Not Specified, Credit-Builder Loan, Home Equity Loan, and Debt Consolidation Loan",9,9,793.39,Yes
11225,2022-01-12,35,2949.0066666666667,3,7,14,2,"Debt Consolidation Loan, and Payday Loan",25,14,571.06,Yes
11845,2022-01-12,46,3043.527749827742,0,2,11,2,"Home Equity Loan, and Home Equity Loan",10,0,734.77,No
12373,2022-01-12,41,5800.056666666666,0,2,12,1,Student Loan,5,10,827.89,No
12354,2022-01-12,39,811.35,5,8,27,7,"Credit-Builder Loan, Auto Loan, Student Loan, Mortgage Loan, Credit-Builder Loan, Credit-Builder Loan, and Debt Consolidation Loan",27,23,1744.47,Yes
10057,2022-01-12,36,1458.2399992630533,8,5,9,1,Credit-Builder Loan,27,17,896.57,Yes
11431,2022-01-12,38,2819.995,8,4,12,0,No Loan,2,8,565.34,No
12356,2022-01-12,49,5465.759999999998,5,5,12,2,"Payday Loan, and Auto Loan",24,11,1256.89,No
11067,2022-01-12,41,764.3320833333332,8,4,17,5,"Student Loan, Mortgage Loan, Auto Loan, Auto Loan, and Auto Loan",21,9,1225.06,Yes
12346,2022-01-12,37,8526.053333333333,3,6,9,3,"Personal Loan, Credit-Builder Loan, and Payday Loan",16,18,559.18,No
10863,2022-01-12,50,5887.2975,5,3,20,4,"Debt Consolidation Loan, Home Equity Loan, Home Equity Loan, and Student Loan",22,19,268.08,Yes
12308,2022-01-12,38,3148.047031847666,8,4,18,2,"Mortgage Loan, and Personal Loan",24,10,1747.6,Yes
11833,2022-01-12,20,5057.44,8,3,21,4,"Payday Loan, Home Equity Loan, Payday Loan, and Credit-Builder Loan",25,13,2100.23,Yes
10862,2022-01-12,39,6627.903333333333,4,4,9,1,Not Specified,2,1,469.43,No
10541,2022-01-12,42,5409.0875,4,6,19,0,No Loan,22,20,1253.04,No
10075,2022-01-12,18,4685.72,6,6,16,4,"Mortgage Loan, Mortgage Loan, Student Loan, and Not Specified",40,19,2051.19,Yes
12309,2022-01-12,45,2420.8766666666666,5,6,9,3,"Credit-Builder Loan, Debt Consolidation Loan, and Payday Loan",8,7,1005.41,Yes
10654,2022-01-12,24,6429.633584073772,1,3,11,0,No Loan,0,2,1355.65,No
10861,2022-01-12,42,3173.741666666667,7,8,26,8,"Auto Loan, Debt Consolidation Loan, Auto Loan, Not Specified, Home Equity Loan, Payday Loan, Not Specified, and Payday Loan",51,26,3501.98,Yes
12307,2022-01-12,24,3337.044166666666,3,4,1,3,"Payday Loan, Debt Consolidation Loan, and Payday Loan",9,3,1375.65,No
11614,2022-01-12,53,2480.7408333333333,3,4,2,1,Student Loan,7,4,661.01,No
10076,2022-01-12,19,3202.135,3,5,2,2,"Mortgage Loan, and Credit-Builder Loan",12,8,1181.0,No
11234,2022-01-12,27,4328.915,4,3,5,2,"Auto Loan, and Auto Loan",11,18,1119.16,No
10077,2022-01-12,39,1664.2658333333331,10,10,19,6,"Payday Loan, Home Equity Loan, Debt Consolidation Loan, Auto Loan, Home Equity Loan, and Mortgage Loan",19,23,2209.17,Yes
12304,2022-01-12,38,761.4883333333332,6,8,21,2,"Not Specified, and Debt Consolidation Loan",19,17,2221.93,Yes
11949,2022-01-12,40,9388.01,4,2,4,2,"Mortgage Loan, and Personal Loan",7,8,316.56,No
10219,2022-01-12,27,6280.639999999999,6,6,19,2,"Debt Consolidation Loan, and Personal Loan",16,14,946.92,Yes
10865,2022-01-12,30,1813.5608333333328,7,5,19,8,"Personal Loan, Not Specified, Not Specified, Student Loan, Auto Loan, Home Equity Loan, Student Loan, and Student Loan",56,19,4203.56,Yes
12310,2022-01-12,54,3733.223333333333,0,7,6,1,Home Equity Loan,14,13,862.14,No
11615,2022-01-12,20,3512.2183333333337,10,10,25,7,"Payday Loan, Mortgage Loan, Home Equity Loan, Home Equity Loan, Credit-Builder Loan, Not Specified, and Personal Loan",18,20,2097.37,Yes
11404,2022-01-12,20,8439.815,4,5,12,3,"Student Loan, Credit-Builder Loan, and Auto Loan",5,15,640.78,Yes
10505,2022-01-12,34,6090.583333333332,10,8,18,5,"Auto Loan, Student Loan, Payday Loan, Mortgage Loan, and Home Equity Loan",31,25,3323.82,Yes
12306,2022-01-12,45,2715.056666666667,6,7,24,8,"Personal Loan, Student Loan, Personal Loan, Mortgage Loan, Student Loan, Not Specified, Auto Loan, and Debt Consolidation Loan",36,17,1976.63,Yes
10864,2022-01-12,22,1605.030833333333,5,6,6,3,"Debt Consolidation Loan, Credit-Builder Loan, and Personal Loan",19,7,1343.64,No
11143,2022-01-12,43,2534.483333333333,5,7,10,4,"Credit-Builder Loan, Payday Loan, Credit-Builder Loan, and Payday Loan",13,9,157.62,No
11947,2022-01-12,30,1369.415,4,7,29,5,"Mortgage Loan, Credit-Builder Loan, Debt Consolidation Loan, Personal Loan, and Credit-Builder Loan",25,5,1678.53,Yes
10436,2022-01-12,48,11051.445,1,3,6,1,Credit-Builder Loan,0,11,831.63,No
11609,2022-01-12,39,5074.935967458895,6,6,22,7,"Auto Loan, Auto Loan, Not Specified, Credit-Builder Loan, Payday Loan, Personal Loan, and Mortgage Loan",23,21,4913.68,Yes
10355,2022-01-12,32,3748.2475,8,8,26,7,"Debt Consolidation Loan, Auto Loan, Personal Loan, Debt Consolidation Loan, Auto Loan, Home Equity Loan, and Student Loan",54,21,4225.97,Yes
10857,2022-01-12,38,11094.013333333334,3,6,11,1,Debt Consolidation Loan,4,6,789.03,No
11232,2022-01-12,31,2474.785,6,9,30,8,"Credit-Builder Loan, Debt Consolidation Loan, Home Equity Loan, Not Specified, Home Equity Loan, Not Specified, Home Equity Loan, and Student Loan",41,24,3844.13,Yes
11945,2022-01-12,53,10031.5025,2,3,2,3,"Personal Loan, Credit-Builder Loan, and Debt Consolidation Loan",10,12,499.12,No
10656,2022-01-12,50,10643.726666666667,3,4,6,1,Personal Loan,5,7,1198.35,No
12314,2022-01-12,48,8115.1375,0,3,6,1,Not Specified,31,11,1042.2,No
10435,2022-01-12,25,4700.825,9,8,20,7,"Student Loan, Payday Loan, Auto Loan, Payday Loan, Not Specified, Home Equity Loan, and Home Equity Loan",49,14,1850.68,Yes
11409,2022-01-12,33,2202.0750000000007,8,4,15,4,"Auto Loan, Debt Consolidation Loan, Mortgage Loan, and Personal Loan",20,12,1182.19,Yes
11146,2022-01-12,30,3086.7566666666667,3,7,1,4,"Credit-Builder Loan, Personal Loan, Student Loan, and Auto Loan",10,7,25.78,No
12317,2022-01-12,30,5069.09,5,3,24,7,"Payday Loan, Auto Loan, Personal Loan, Payday Loan, Personal Loan, Student Loan, and Mortgage Loan",3,20,2329.34,Yes
10540,2022-01-12,35,1626.0475,6,8,13,3,"Personal Loan, Student Loan, and Mortgage Loan",23,8,2500.04,Yes
12316,2022-01-12,23,7181.34,6,4,10,1,Student Loan,28,23,729.69,Yes
11403,2022-01-12,18,14408.423333333332,3,4,10,2,"Personal Loan, and Credit-Builder Loan",8,12,645.14,No
10073,2022-01-12,18,2897.9966666666664,10,8,28,3,"Payday Loan, Debt Consolidation Loan, and Auto Loan",55,17,1699.05,Yes
10858,2022-01-12,23,1236.5958333333335,9,6,13,8,"Credit-Builder Loan, Payday Loan, Mortgage Loan, Debt Consolidation Loan, Payday Loan, Auto Loan, Auto Loan, and Debt Consolidation Loan",32,14,2607.71,Yes
10354,2022-01-12,39,2293.348333333333,4,6,7,3,"Student Loan, Credit-Builder Loan, and Personal Loan",9,15,71.54,No
12311,2022-01-12,44,14581.07,4,6,5,2,"Personal Loan, and Credit-Builder Loan",4,4,308.8,No
10860,2022-01-12,40,7191.6125,8,7,16,0,No Loan,10,9,1057.71,Yes
11611,2022-01-12,40,5109.224999999999,4,4,13,1,Personal Loan,3,19,693.23,No
11407,2022-01-12,51,4811.25,3,3,20,1,Payday Loan,18,17,846.68,Yes
11946,2022-01-12,27,531.0429166666668,8,6,15,5,"Debt Consolidation Loan, Auto Loan, Not Specified, Personal Loan, and Home Equity Loan",51,16,2113.29,Yes
12313,2022-01-12,45,6805.912500000001,6,3,5,6,"Home Equity Loan, Credit-Builder Loan, Personal Loan, Auto Loan, Personal Loan, and Not Specified",30,9,666.47,Yes
11610,2022-01-12,33,5532.685,3,6,3,2,"Student Loan, and Credit-Builder Loan",19,20,625.89,No
11145,2022-01-12,38,11496.65,5,7,5,2,"Personal Loan, and Credit-Builder Loan",9,20,1348.57,Yes
11834,2022-01-12,56,1318.27125,4,3,13,1,Credit-Builder Loan,8,18,921.57,No
11616,2022-01-12,46,7079.4325,4,7,10,1,Auto Loan,24,13,1203.57,Yes
12303,2022-01-12,40,3440.570833333333,0,5,11,4,"Student Loan, Student Loan, Mortgage Loan, and Credit-Builder Loan",4,7,1360.31,No
11398,2022-01-12,28,3574.350833333333,4,5,10,0,No Loan,11,12,648.02,No
12293,2022-01-12,37,11698.58,2,4,5,3,"Debt Consolidation Loan, Personal Loan, and Home Equity Loan",14,12,443.62,No
10649,2022-01-12,46,1619.4483333333335,3,5,11,3,"Credit-Builder Loan, Home Equity Loan, and Student Loan",18,19,1396.35,Yes
10874,2022-01-12,19,3245.0108333333333,3,3,2,2,"Debt Consolidation Loan, and Credit-Builder Loan",8,7,931.9,No
11236,2022-01-12,31,2659.4775,2,7,1,0,No Loan,1,2,1171.28,No
11139,2022-01-12,51,1961.23,3,5,7,2,"Payday Loan, and Personal Loan",8,17,370.32,Yes
10081,2022-01-12,36,14565.089999999998,2,1,11,4,"Not Specified, Student Loan, Not Specified, and Auto Loan",3,10,300.22,No
